序號,答案
20240117090001,146.03
20240117091001,102.85
20240117092001,99.57
20240117093001,99.29
20240117094001,95.58
20240117095001,114.86
20240117100001,133.64
20240117101001,135.52
20240117102001,145.08
20240117103001,151.38
20240117104001,149.26
20240117105001,148.58
20240117110001,153.07
20240117111001,161.31
20240117112001,172.9
20240117113001,186.23
20240117114001,202.61
20240117115001,221.84
20240117120001,243.45
20240117121001,268.21
20240117122001,296.31
20240117123001,327.14
20240117124001,360.2
20240117125001,394.39
20240117130001,427.91
20240117131001,458.85
20240117132001,485.56
20240117133001,506.89
20240117134001,522.47
20240117135001,532.65
20240117140001,538.19
20240117141001,539.97
20240117142001,538.73
20240117143001,534.94
20240117144001,528.84
20240117145001,520.57
20240117150001,510.43
20240117151001,498.92
20240117152001,486.7
20240117153001,474.51
20240117154001,462.98
20240117155001,452.61
20240117160001,443.71
20240117161001,436.45
20240117162001,430.89
20240117163001,427.01
20240117164001,424.8
20240117165001,424.25
20240119090001,367.47
20240119091001,27.25
20240119092001,127.51
20240119093001,155.39
20240119094001,113.09
20240119095001,119.59
20240119100001,130.71
20240119101001,169.91
20240119102001,131.98
20240119103001,150.14
20240119104001,162.92
20240119105001,148.77
20240119110001,153.07
20240119111001,161.31
20240119112001,172.9
20240119113001,186.23
20240119114001,202.61
20240119115001,221.84
20240119120001,243.45
20240119121001,268.21
20240119122001,296.31
20240119123001,327.14
20240119124001,360.2
20240119125001,394.39
20240119130001,427.91
20240119131001,458.85
20240119132001,485.56
20240119133001,506.89
20240119134001,522.47
20240119135001,532.65
20240119140001,538.19
20240119141001,539.97
20240119142001,538.73
20240119143001,534.94
20240119144001,528.84
20240119145001,520.57
20240119150001,510.43
20240119151001,498.92
20240119152001,486.7
20240119153001,474.51
20240119154001,462.98
20240119155001,452.61
20240119160001,443.71
20240119161001,436.45
20240119162001,430.89
20240119163001,427.01
20240119164001,424.8
20240119165001,424.25
20240224090001,114.25
20240224091001,134.73
20240224092001,82.04
20240224093001,99.03
20240224094001,123.39
20240224095001,93.79
20240224100001,120.91
20240224101001,134.76
20240224102001,144.23
20240224103001,155.18
20240224104001,158.15
20240224105001,152.56
20240224110001,153.07
20240224111001,161.31
20240224112001,172.9
20240224113001,186.23
20240224114001,202.61
20240224115001,221.84
20240224120001,243.45
20240224121001,268.21
20240224122001,296.31
20240224123001,327.14
20240224124001,360.2
20240224125001,394.39
20240224130001,427.91
20240224131001,458.85
20240224132001,485.56
20240224133001,506.89
20240224134001,522.47
20240224135001,532.65
20240224140001,538.19
20240224141001,539.97
20240224142001,538.73
20240224143001,534.94
20240224144001,528.84
20240224145001,520.57
20240224150001,510.43
20240224151001,498.92
20240224152001,486.7
20240224153001,474.51
20240224154001,462.98
20240224155001,452.61
20240224160001,443.71
20240224161001,436.45
20240224162001,430.89
20240224163001,427.01
20240224164001,424.8
20240224165001,424.25
20240226090001,50.38
20240226091001,94.81
20240226092001,70.13
20240226093001,94.37
20240226094001,117.02
20240226095001,85.05
20240226100001,127.15
20240226101001,139.19
20240226102001,148.87
20240226103001,164.48
20240226104001,164.54
20240226105001,154.94
20240226110001,153.07
20240226111001,161.31
20240226112001,172.9
20240226113001,186.23
20240226114001,202.61
20240226115001,221.84
20240226120001,243.45
20240226121001,268.21
20240226122001,296.31
20240226123001,327.14
20240226124001,360.2
20240226125001,394.39
20240226130001,427.91
20240226131001,458.85
20240226132001,485.56
20240226133001,506.89
20240226134001,522.47
20240226135001,532.65
20240226140001,538.19
20240226141001,539.97
20240226142001,538.73
20240226143001,534.94
20240226144001,528.84
20240226145001,520.57
20240226150001,510.43
20240226151001,498.92
20240226152001,486.7
20240226153001,474.51
20240226154001,462.98
20240226155001,452.61
20240226160001,443.71
20240226161001,436.45
20240226162001,430.89
20240226163001,427.01
20240226164001,424.8
20240226165001,424.25
20240327090001,223.43
20240327091001,122.47
20240327092001,80.49
20240327093001,118.98
20240327094001,118.88
20240327095001,93.43
20240327100001,104.37
20240327101001,123.43
20240327102001,130.74
20240327103001,149.98
20240327104001,160.52
20240327105001,150.57
20240327110001,153.07
20240327111001,161.31
20240327112001,172.9
20240327113001,186.23
20240327114001,202.61
20240327115001,221.84
20240327120001,243.45
20240327121001,268.21
20240327122001,296.31
20240327123001,327.14
20240327124001,360.2
20240327125001,394.39
20240327130001,427.91
20240327131001,458.85
20240327132001,485.56
20240327133001,506.89
20240327134001,522.47
20240327135001,532.65
20240327140001,538.19
20240327141001,539.97
20240327142001,538.73
20240327143001,534.94
20240327144001,528.84
20240327145001,520.57
20240327150001,510.43
20240327151001,498.92
20240327152001,486.7
20240327153001,474.51
20240327154001,462.98
20240327155001,452.61
20240327160001,443.71
20240327161001,436.45
20240327162001,430.89
20240327163001,427.01
20240327164001,424.8
20240327165001,424.25
20240329090001,64.52
20240329091001,141.42
20240329092001,98.33
20240329093001,81.13
20240329094001,111.14
20240329095001,91.53
20240329100001,129.66
20240329101001,147.55
20240329102001,149.5
20240329103001,162.1
20240329104001,163.08
20240329105001,153.91
20240329110001,153.07
20240329111001,161.31
20240329112001,172.9
20240329113001,186.23
20240329114001,202.61
20240329115001,221.84
20240329120001,243.45
20240329121001,268.21
20240329122001,296.31
20240329123001,327.14
20240329124001,360.2
20240329125001,394.39
20240329130001,427.91
20240329131001,458.85
20240329132001,485.56
20240329133001,506.89
20240329134001,522.47
20240329135001,532.65
20240329140001,538.19
20240329141001,539.97
20240329142001,538.73
20240329143001,534.94
20240329144001,528.84
20240329145001,520.57
20240329150001,510.43
20240329151001,498.92
20240329152001,486.7
20240329153001,474.51
20240329154001,462.98
20240329155001,452.61
20240329160001,443.71
20240329161001,436.45
20240329162001,430.89
20240329163001,427.01
20240329164001,424.8
20240329165001,424.25
20240428090001,425.9
20240428091001,31.52
20240428092001,102.23
20240428093001,156.56
20240428094001,81.33
20240428095001,116.62
20240428100001,112.04
