序號,答案
20240117090001,238.51
20240117091001,232.18
20240117092001,225.26
20240117093001,226.7
20240117094001,232.68
20240117095001,239.78
20240117100001,247.33
20240117101001,254.22
20240117102001,259.24
20240117103001,261.47
20240117104001,261.46
20240117105001,259.4
20240117110001,253.45
20240117111001,247.89
20240117112001,243.23
20240117113001,239.15
20240117114001,235.33
20240117115001,231.53
20240117120001,227.59
20240117121001,223.43
20240117122001,219.04
20240117123001,214.39
20240117124001,209.54
20240117125001,204.5
20240117130001,199.32
20240117131001,194.05
20240117132001,188.71
20240117133001,183.31
20240117134001,177.85
20240117135001,172.3
20240117140001,166.68
20240117141001,160.96
20240117142001,155.15
20240117143001,149.24
20240117144001,143.22
20240117145001,137.09
20240117150001,130.83
20240117151001,124.44
20240117152001,117.9
20240117153001,111.19
20240117154001,104.29
20240117155001,97.17
20240117160001,89.81
20240117161001,82.17
20240117162001,74.21
20240117163001,65.88
20240117164001,57.14
20240117165001,47.91
20240119090001,315.08
20240119091001,149.29
20240119092001,230.4
20240119093001,228.91
20240119094001,249.59
20240119095001,257.36
20240119100001,256.0
20240119101001,255.77
20240119102001,255.94
20240119103001,256.89
20240119104001,257.34
20240119105001,257.14
20240119110001,253.45
20240119111001,247.89
20240119112001,243.23
20240119113001,239.15
20240119114001,235.33
20240119115001,231.53
20240119120001,227.59
20240119121001,223.43
20240119122001,219.04
20240119123001,214.39
20240119124001,209.54
20240119125001,204.5
20240119130001,199.32
20240119131001,194.05
20240119132001,188.71
20240119133001,183.31
20240119134001,177.85
20240119135001,172.3
20240119140001,166.68
20240119141001,160.96
20240119142001,155.15
20240119143001,149.24
20240119144001,143.22
20240119145001,137.09
20240119150001,130.83
20240119151001,124.44
20240119152001,117.9
20240119153001,111.19
20240119154001,104.29
20240119155001,97.17
20240119160001,89.81
20240119161001,82.17
20240119162001,74.21
20240119163001,65.88
20240119164001,57.14
20240119165001,47.91
20240224090001,152.43
20240224091001,295.45
20240224092001,244.28
20240224093001,226.62
20240224094001,224.85
20240224095001,230.62
20240224100001,237.66
20240224101001,244.88
20240224102001,249.94
20240224103001,254.18
20240224104001,255.84
20240224105001,255.45
20240224110001,253.45
20240224111001,247.89
20240224112001,243.23
